customer_id,region,CPI,Severity,CRS,final_score,action,reason,proposed_text,estimated_action_cost_usd
C017368,rural_south,0,69,0.9,38.7,priority_callback,Service factors likely; review line or schedule investigation.,"We can review your plan and check your line where needed. Would you like us to schedule a priority callback? Credits, if any, are a one-time credit, subject to account review; availability can vary by account and region.",2
C005838,urban_east,0,69,0.9,38.7,priority_callback,Service factors likely; review line or schedule investigation.,"We can review your plan and check your line where needed. Would you like us to schedule a priority callback? Credits, if any, are a one-time credit, subject to account review; availability can vary by account and region.",2
C010015,urban_east,0,69,0.89,38.5,priority_callback,Service factors likely; review line or schedule investigation.,"We can review your plan and check your line where needed. Would you like us to schedule a priority callback? Credits, if any, are a one-time credit, subject to account review; availability can vary by account and region.",2
C009750,rural_south,0,69,0.89,38.5,priority_callback,Service factors likely; review line or schedule investigation.,"We can review your plan and check your line where needed. Would you like us to schedule a priority callback? Credits, if any, are a one-time credit, subject to account review; availability can vary by account and region.",2
C000098,urban_east,0,69,0.89,38.5,priority_callback,Service factors likely; review line or schedule investigation.,"We can review your plan and check your line where needed. Would you like us to schedule a priority callback? Credits, if any, are a one-time credit, subject to account review; availability can vary by account and region.",2
C010835,urban_east,0,68,0.9,38.4,priority_callback,Service factors likely; review line or schedule investigation.,"We can review your plan and check your line where needed. Would you like us to schedule a priority callback? Credits, if any, are a one-time credit, subject to account review; availability can vary by account and region.",2
C007824,suburb_east,0,68,0.9,38.4,priority_callback,Service factors likely; review line or schedule investigation.,"We can review your plan and check your line where needed. Would you like us to schedule a priority callback? Credits, if any, are a one-time credit, subject to account review; availability can vary by account and region.",2
C007537,suburb_east,0,68,0.9,38.4,priority_callback,Service factors likely; review line or schedule investigation.,"We can review your plan and check your line where needed. Would you like us to schedule a priority callback? Credits, if any, are a one-time credit, subject to account review; availability can vary by account and region.",2
C014519,rural_south,0,68,0.9,38.4,priority_callback,Service factors likely; review line or schedule investigation.,"We can review your plan and check your line where needed. Would you like us to schedule a priority callback? Credits, if any, are a one-time credit, subject to account review; availability can vary by account and region.",2
C000495,urban_east,0,68,0.89,38.2,priority_callback,Service factors likely; review line or schedule investigation.,"We can review your plan and check your line where needed. Would you like us to schedule a priority callback? Credits, if any, are a one-time credit, subject to account review; availability can vary by account and region.",2
C014790,rural_south,0,69,0.87,38.1,priority_callback,Service factors likely; review line or schedule investigation.,"We can review your plan and check your line where needed. Would you like us to schedule a priority callback? Credits, if any, are a one-time credit, subject to account review; availability can vary by account and region.",2
C013168,metro_north,0,67,0.9,38.1,priority_callback,Service factors likely; review line or schedule investigation.,"We can review your plan and check your line where needed. Would you like us to schedule a priority callback? Credits, if any, are a one-time credit, subject to account review; availability can vary by account and region.",2
C007408,rural_south,0,67,0.9,38.1,priority_callback,Service factors likely; review line or schedule investigation.,"We can review your plan and check your line where needed. Would you like us to schedule a priority callback? Credits, if any, are a one-time credit, subject to account review; availability can vary by account and region.",2
C005517,suburb_east,0,67,0.9,38.1,priority_callback,Service factors likely; review line or schedule investigation.,"We can review your plan and check your line where needed. Would you like us to schedule a priority callback? Credits, if any, are a one-time credit, subject to account review; availability can vary by account and region.",2
C014186,urban_east,0,68,0.88,38.0,priority_callback,Service factors likely; review line or schedule investigation.,"We can review your plan and check your line where needed. Would you like us to schedule a priority callback? Credits, if any, are a one-time credit, subject to account review; availability can vary by account and region.",2
C008154,rural_south,0,68,0.88,38.0,priority_callback,Service factors likely; review line or schedule investigation.,"We can review your plan and check your line where needed. Would you like us to schedule a priority callback? Credits, if any, are a one-time credit, subject to account review; availability can vary by account and region.",2
C002012,metro_north,0,67,0.89,37.9,priority_callback,Service factors likely; review line or schedule investigation.,"We can review your plan and check your line where needed. Would you like us to schedule a priority callback? Credits, if any, are a one-time credit, subject to account review; availability can vary by account and region.",2
C006352,urban_east,0,67,0.89,37.9,priority_callback,Service factors likely; review line or schedule investigation.,"We can review your plan and check your line where needed. Would you like us to schedule a priority callback? Credits, if any, are a one-time credit, subject to account review; availability can vary by account and region.",2
C004113,metro_north,0,67,0.89,37.9,priority_callback,Service factors likely; review line or schedule investigation.,"We can review your plan and check your line where needed. Would you like us to schedule a priority callback? Credits, if any, are a one-time credit, subject to account review; availability can vary by account and region.",2
C004872,metro_north,0,67,0.89,37.9,priority_callback,Service factors likely; review line or schedule investigation.,"We can review your plan and check your line where needed. Would you like us to schedule a priority callback? Credits, if any, are a one-time credit, subject to account review; availability can vary by account and region.",2
C019045,urban_east,0,67,0.89,37.9,priority_callback,Service factors likely; review line or schedule investigation.,"We can review your plan and check your line where needed. Would you like us to schedule a priority callback? Credits, if any, are a one-time credit, subject to account review; availability can vary by account and region.",2
C002024,metro_north,0,68,0.87,37.8,priority_callback,Service factors likely; review line or schedule investigation.,"We can review your plan and check your line where needed. Would you like us to schedule a priority callback? Credits, if any, are a one-time credit, subject to account review; availability can vary by account and region.",2
C012805,suburb_east,0,68,0.87,37.8,priority_callback,Service factors likely; review line or schedule investigation.,"We can review your plan and check your line where needed. Would you like us to schedule a priority callback? Credits, if any, are a one-time credit, subject to account review; availability can vary by account and region.",2
